stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
7227.FBpp0070302,7227.FBpp0081244,mip130,sgll,7227,0.431,0,0,0,0,0,0,0.431
7227.FBpp0070302,7227.FBpp0081244,mip130,sgll,7227,0.431,0,0,0,0,0,0,0.431
7227.FBpp0070302,7227.FBpp0082511,mip130,Caf1,7227,0.999,0,0,0,0.101,0.951,0.9,0.868
7227.FBpp0070302,7227.FBpp0082511,mip130,Caf1,7227,0.999,0,0,0,0.101,0.951,0.9,0.868
7227.FBpp0070395,7227.FBpp0073290,CG2918,Hsp60,7227,0.488,0.052,0,0,0.192,0.148,0,0.309
7227.FBpp0070395,7227.FBpp0073290,CG2918,Hsp60,7227,0.488,0.052,0,0,0.192,0.148,0,0.309
7227.FBpp0070612,7227.FBpp0070633,GlcAT-I,Fas2,7227,0.497,0,0,0,0.048,0,0,0.493
7227.FBpp0070612,7227.FBpp0070633,GlcAT-I,Fas2,7227,0.497,0,0,0,0.048,0,0,0.493
7227.FBpp0070633,7227.FBpp0085139,Fas2,chp,7227,0.549,0,0,0,0,0.041,0,0.549
7227.FBpp0070633,7227.FBpp0085139,Fas2,chp,7227,0.549,0,0,0,0,0.041,0,0.549
7227.FBpp0070637,7227.FBpp0076408,Nsun2,msk,7227,0.462,0,0,0,0.456,0.051,0,0
7227.FBpp0070637,7227.FBpp0076408,Nsun2,msk,7227,0.462,0,0,0,0.456,0.051,0,0
7227.FBpp0070637,7227.FBpp0087500,Nsun2,14-3-3zeta,7227,0.607,0,0,0,0.048,0.605,0,0
7227.FBpp0070637,7227.FBpp0087500,Nsun2,14-3-3zeta,7227,0.607,0,0,0,0.048,0.605,0,0
7227.FBpp0070952,7227.FBpp0079914,CG3224,Aats-thr,7227,0.575,0,0,0,0.067,0,0,0.563
7227.FBpp0070952,7227.FBpp0079914,CG3224,Aats-thr,7227,0.575,0,0,0,0.067,0,0,0.563
7227.FBpp0071468,7227.FBpp0087500,Treh,14-3-3zeta,7227,0.579,0,0,0,0.052,0.45,0,0.259
7227.FBpp0071468,7227.FBpp0087500,Treh,14-3-3zeta,7227,0.579,0,0,0,0.052,0.45,0,0.259
7227.FBpp0071685,7227.FBpp0080114,Vps35,Sec71,7227,0.532,0,0,0,0.206,0,0,0.435
7227.FBpp0071685,7227.FBpp0080114,Vps35,Sec71,7227,0.532,0,0,0,0.206,0,0,0.435
7227.FBpp0071794,7227.FBpp0073290,blw,Hsp60,7227,0.586,0.046,0,0,0.183,0.049,0,0.507
7227.FBpp0071794,7227.FBpp0073290,blw,Hsp60,7227,0.586,0.046,0,0,0.183,0.049,0,0.507
7227.FBpp0071794,7227.FBpp0072250,blw,Nurf-38,7227,0.902,0,0,0,0.415,0,0.65,0.561
7227.FBpp0071794,7227.FBpp0072250,blw,Nurf-38,7227,0.902,0,0,0,0.415,0,0.65,0.561
7227.FBpp0072250,7227.FBpp0082511,Nurf-38,Caf1,7227,0.997,0,0,0,0.052,0.822,0.9,0.849
7227.FBpp0072250,7227.FBpp0082511,Nurf-38,Caf1,7227,0.997,0,0,0,0.052,0.822,0.9,0.849
7227.FBpp0072539,7227.FBpp0076487,trio,pbl,7227,0.757,0,0,0,0,0,0.5,0.535
7227.FBpp0072539,7227.FBpp0076487,trio,pbl,7227,0.757,0,0,0,0,0,0.5,0.535
7227.FBpp0072539,7227.FBpp0305817,trio,RhoGAPp190,7227,0.87,0,0,0,0.155,0,0.838,0.127
