feature_chr,feature_start,feature_end,region_chr,region_start,region_end,gene_id,gene_name,feature_type,score
chr2L,293814,293836,chr2L,293681,295681,FBgn0017457,FBgn0017457,structure,127.64
chr2L,293814,293836,chr2L,293681,295681,FBgn0017457,FBgn0017457,structure,127.64
chr2L,563607,563626,chr2L,562819,564819,FBgn0031264,FBgn0031264,structure,131.42
chr2L,563607,563626,chr2L,562347,564347,FBgn0031264,FBgn0031264,structure,131.42
chr2L,563607,563626,chr2L,562347,564347,FBgn0031264,FBgn0031264,structure,131.42
chr2L,563607,563626,chr2L,562347,564347,FBgn0031264,FBgn0031264,structure,131.42
chr2L,563607,563626,chr2L,563163,565163,FBgn0031265,FBgn0031265,structure,131.42
chr2L,587302,587330,chr2L,587047,589047,FBgn0010323,FBgn0010323,structure,123.14
chr2L,587302,587330,chr2L,587048,589048,FBgn0267827,FBgn0267827,structure,123.14
chr2L,587302,587330,chr2L,587148,589148,FBgn0267827,FBgn0267827,structure,123.14
chr2L,606118,606142,chr2L,604914,606914,FBgn0263657,FBgn0263657,structure,122.33
chr2L,623375,623404,chr2L,622107,624107,FBgn0266032,FBgn0266032,structure,121.17
chr2L,623375,623404,chr2L,623323,625323,FBgn0266033,FBgn0266033,structure,121.17
chr2L,850296,850322,chr2L,850071,852071,FBgn0020304,FBgn0020304,structure,161.21
chr2L,850296,850322,chr2L,850071,852071,FBgn0020304,FBgn0020304,structure,161.21
chr2L,850296,850322,chr2L,850071,852071,FBgn0020304,FBgn0020304,structure,161.21
chr2L,850296,850322,chr2L,849702,851702,FBgn0264869,FBgn0264869,structure,161.21
chr2L,858394,858422,chr2L,856403,858403,FBgn0266884,FBgn0266884,structure,130.48
chr2L,858394,858422,chr2L,856542,858542,FBgn0262177,FBgn0262177,structure,130.48
chr2L,860070,860098,chr2L,859197,861197,FBgn0031289,FBgn0031289,structure,132.29
chr2L,860070,860098,chr2L,859309,861309,FBgn0031289,FBgn0031289,structure,132.29
chr2L,1724050,1724076,chr2L,1723388,1725388,FBgn0031359,FBgn0031359,structure,136.83
chr2L,1724050,1724076,chr2L,1723388,1725388,FBgn0031359,FBgn0031359,structure,136.83
chr2L,1724050,1724076,chr2L,1723388,1725388,FBgn0031359,FBgn0031359,structure,136.83
chr2L,1733397,1733422,chr2L,1731524,1733524,FBgn0264494,FBgn0264494,structure,108.25
chr2L,2023084,2023105,chr2L,2023012,2025012,FBgn0031384,FBgn0031384,structure,136.19
chr2L,2023084,2023105,chr2L,2023012,2025012,FBgn0031384,FBgn0031384,structure,136.19
chr2L,2079590,2079626,chr2L,2078919,2080919,FBgn0031388,FBgn0031388,structure,135.83
chr2L,2079590,2079626,chr2L,2078919,2080919,FBgn0031388,FBgn0031388,structure,135.83
chr2L,2628963,2628988,chr2L,2626986,2628986,FBgn0267269,FBgn0267269,structure,108.25
chr2L,2697312,2697345,chr2L,2695437,2697437,FBgn0031446,FBgn0031446,structure,163.55
chr2L,2739501,2739517,chr2L,2738986,2740986,FBgn0031450,FBgn0031450,structure,100.0
chr2L,2739501,2739517,chr2L,2739042,2741042,FBgn0031450,FBgn0031450,structure,100.0
chr2L,3445364,3445392,chr2L,3444992,3446992,FBgn0031533,FBgn0031533,structure,151.43
chr2L,3729662,3729682,chr2L,3729466,3731466,FBgn0031568,FBgn0031568,structure,121.25
chr2L,3913874,3913898,chr2L,3913288,3915288,FBgn0051773,FBgn0051773,structure,117.17
chr2L,4197768,4197795,chr2L,4196380,4198380,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4197768,4197795,chr2L,4197071,4199071,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4197768,4197795,chr2L,4197071,4199071,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4197768,4197795,chr2L,4197071,4199071,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4197768,4197795,chr2L,4196380,4198380,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4197768,4197795,chr2L,4197071,4199071,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4197768,4197795,chr2L,4196380,4198380,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4197768,4197795,chr2L,4196380,4198380,FBgn0031589,FBgn0031589,structure,153.59
chr2L,4620189,4620210,chr2L,4618587,4620587,FBgn0265820,FBgn0265820,structure,112.14
chr2L,4641822,4641849,chr2L,4640296,4642296,FBgn0083938,FBgn0083938,structure,99.44
chr2L,4641822,4641849,chr2L,4640296,4642296,FBgn0083938,FBgn0083938,structure,99.44
chr2L,4684258,4684284,chr2L,4683461,4685461,FBgn0000227,FBgn0000227,structure,101.15
chr2L,5236529,5236557,chr2L,5236362,5238362,FBgn0003716,FBgn0003716,structure,114.0
chr2L,5729801,5729820,chr2L,5727811,5729811,FBgn0031733,FBgn0031733,structure,124.67
chr2L,5729801,5729820,chr2L,5727811,5729811,FBgn0031733,FBgn0031733,structure,124.67
chr2L,5799483,5799511,chr2L,5799173,5801173,FBgn0031738,FBgn0031738,structure,150.89
chr2L,5799483,5799511,chr2L,5799253,5801253,FBgn0031738,FBgn0031738,structure,150.89
chr2L,5799483,5799511,chr2L,5799173,5801173,FBgn0031738,FBgn0031738,structure,150.89
chr2L,5925505,5925528,chr2L,5924961,5926961,FBgn0264547,FBgn0264547,structure,132.54
chr2L,5925505,5925528,chr2L,5924937,5926937,FBgn0015381,FBgn0015381,structure,132.54
chr2L,5925505,5925528,chr2L,5924937,5926937,FBgn0015381,FBgn0015381,structure,132.54
chr2L,5925753,5925784,chr2L,5924961,5926961,FBgn0264547,FBgn0264547,structure,157.02
chr2L,5925753,5925784,chr2L,5924937,5926937,FBgn0015381,FBgn0015381,structure,157.02
chr2L,5925753,5925784,chr2L,5924937,5926937,FBgn0015381,FBgn0015381,structure,157.02
